Addendum BB -- Final ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2021 (Including Ancillary Services for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	CY 2021 Comment Indicator	Drug Pass-Through Expiration during Calendar Year	Final CY 2021 Payment Indicator	Final CY 2021 Payment Weight  	Final CY 2021 Payment Rate 
0331T		Heart symp image plnr			Z2	13.4810	$659.92
0332T		Heart symp image plnr spect			Z2	13.4810	$659.92
0394T		Hdr elctrnc skn surf brchytx			Z2	2.4949	$122.13
0395T		Hdr elctr ntrst/ntrcv brchtx			Z2	7.3133	$358.00
0422T		Tactile breast img uni/bi			Z2	0.8351	$40.88
0508T		Pls echo us b1 dns meas tib			Z2	1.1249	$55.07
0558T		Ct scan f/biomchn ct alys			Z2	0.8351	$40.88
0598T		Ncntc r-t fluor wnd img 1st	NC		Z2	2.7298	$133.63
0599T		Ncntc r-t fluor wnd img ea	NC		N1		
0609T		Mrs disc pain acquisj data	NC		Z2	2.3756	$116.29
0611T		Mrs disc pain alg alys data	NC		Z2	2.3756	$116.29
0633T		Ct breast w/3d uni c-	NC		Z2	1.1249	$55.07
0634T		Ct breast w/3d uni c+	NC		Z2	1.8432	$90.23
0635T		Ct breast w/3d uni c-/c+	NC		Z2	1.8432	$90.23
0636T		Ct breast w/3d bi c-	NC		Z2	2.3756	$116.29
0637T		Ct breast w/3d bi c+	NC		Z2	3.8000	$186.02
0638T		Ct breast w/3d bi c-/c+	NC		Z2	3.8000	$186.02
70010		Contrast x-ray of brain			N1		
70015		Contrast x-ray of brain			N1		
70030		X-ray eye for foreign body			N1		
70100		X-ray exam of jaw <4views			N1		
70110		X-ray exam of jaw 4/> views			N1		
70120		X-ray exam of mastoids			N1		
70130		X-ray exam of mastoids			N1		
70134		X-ray exam of middle ear			N1		
70140		X-ray exam of facial bones			N1		
70150		X-ray exam of facial bones			N1		
70160		X-ray exam of nasal bones			N1		
70170		X-ray exam of tear duct			N1		
70190		X-ray exam of eye sockets			N1		
70200		X-ray exam of eye sockets			N1		
70210		X-ray exam of sinuses			N1		
70220		X-ray exam of sinuses			N1		
70240		X-ray exam pituitary saddle			N1		
70250		X-ray exam of skull			N1		
70260		X-ray exam of skull			N1		
70300		X-ray exam of teeth			N1		
70310		X-ray exam of teeth			N1		
70320		Full mouth x-ray of teeth			N1		
70328		X-ray exam of jaw joint			N1		
70330		X-ray exam of jaw joints			N1		
70332		X-ray exam of jaw joint			N1		
70336		Magnetic image jaw joint			Z2	2.3756	$116.29
70350		X-ray head for orthodontia			N1		
70355		Panoramic x-ray of jaws			N1		
70360		X-ray exam of neck			N1		
70370		Throat x-ray & fluoroscopy			N1		
70371		Speech evaluation complex			N1		
70380		X-ray exam of salivary gland			N1		
70390		X-ray exam of salivary duct			N1		
70450		Ct head/brain w/o dye			Z2	1.1249	$55.07
70460		Ct head/brain w/dye			Z2	1.8432	$90.23
70470		Ct head/brain w/o & w/dye			Z2	1.8432	$90.23
70480		Ct orbit/ear/fossa w/o dye			Z2	1.1249	$55.07
70481		Ct orbit/ear/fossa w/dye			Z2	1.8432	$90.23
70482		Ct orbit/ear/fossa w/o&w/dye			Z2	1.8432	$90.23
70486		Ct maxillofacial w/o dye			Z2	1.1249	$55.07
70487		Ct maxillofacial w/dye			Z2	1.8432	$90.23
70488		Ct maxillofacial w/o & w/dye			Z2	1.8432	$90.23
70490		Ct soft tissue neck w/o dye			Z2	1.1249	$55.07
70491		Ct soft tissue neck w/dye			Z2	1.8432	$90.23
70492		Ct sft tsue nck w/o & w/dye			Z2	1.8432	$90.23
70496		Ct angiography head			Z2	1.8432	$90.23
70498		Ct angiography neck			Z2	1.8432	$90.23
70540		Mri orbit/face/neck w/o dye			Z2	2.3756	$116.29
70542		Mri orbit/face/neck w/dye			Z2	3.8000	$186.02
70543		Mri orbt/fac/nck w/o &w/dye			Z2	3.8000	$186.02
70544		Mr angiography head w/o dye			Z2	2.3756	$116.29
70545		Mr angiography head w/dye			Z2	3.8000	$186.02
70546		Mr angiograph head w/o&w/dye			Z2	3.8000	$186.02
70547		Mr angiography neck w/o dye			Z2	2.3756	$116.29
70548		Mr angiography neck w/dye			Z2	3.8000	$186.02
70549		Mr angiograph neck w/o&w/dye			Z2	3.8000	$186.02
70551		Mri brain stem w/o dye			Z2	2.3756	$116.29
70552		Mri brain stem w/dye			Z2	3.8000	$186.02
70553		Mri brain stem w/o & w/dye			Z2	3.8000	$186.02
70554		Fmri brain by tech			Z2	2.3756	$116.29
