Addendum AA -- ASC Covered Surgical Procedures for CY 2021                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, April 2021 Payment Indicator,April 2021 Payment Weight  ,April 2021 Payment Rate 
0100T,,Prosth retina receive&gen,Y,J8,70.9981,"$3,475.50 "
0101T,,Extracorp shockwv tx hi enrg,Y,G2,27.1337,"$1,328.25 "
0102T,,Extracorp shockwv tx anesth,Y,G2,27.1337,"$1,328.25 "
0184T,,Exc rectal tumor endoscopic,Y,G2,41.8331,"$2,047.81 "
0191T,,Insert ant segment drain int,Y,J8,57.7294,"$2,825.97 "
0200T,,Perq sacral augmt unilat inj,Y,G2,59.8375,"$2,929.17 "
0201T,,Perq sacral augmt bilat inj,Y,G2,59.8375,"$2,929.17 "
0213T,,Njx paravert w/us cer/thor,Y,R2,8.4901,$415.61 
0214T,,Njx paravert w/us cer/thor,N,N1,,
0215T,,Njx paravert w/us cer/thor,N,N1,,
0216T,,Njx paravert w/us lumb/sac,Y,R2,8.4901,$415.61 
0217T,,Njx paravert w/us lumb/sac,N,N1,,
0218T,,Njx paravert w/us lumb/sac,N,N1,,
0221T,,Plmt post facet implt lumb,Y,G2,59.8375,"$2,929.17 "
0232T,,Njx platelet plasma,N,N1,,
0238T,,Trluml perip athrc iliac art,Y,J8,189.8682,"$9,294.43 "
0253T,,Insert aqueous drain device,Y,J8,53.6219,"$2,624.90 "
0263T,,Im b1 mrw cel ther cmpl,N,G2,41.6806,"$2,040.35 "
0264T,,Im b1 mrw cel ther xcl hrvst,N,G2,41.6806,"$2,040.35 "
0265T,,Im b1 mrw cel ther hrvst onl,N,G2,41.6806,"$2,040.35 "
0266T,,Implt/rpl crtd sns dev total,N,J8,517.015,"$25,308.92 "
0267T,,Implt/rpl crtd sns dev lead,Y,G2,37.4106,"$1,831.32 "
0268T,,Implt/rpl crtd sns dev gen,N,J8,517.015,"$25,308.92 "
0269T,,Rev/remvl crtd sns dev total,N,G2,49.7725,"$2,436.46 "
0270T,,Rev/remvl crtd sns dev lead,N,G2,37.4106,"$1,831.32 "
0271T,,Rev/remvl crtd sns dev gen,N,G2,37.4106,"$1,831.32 "
0274T,,Perq lamot/lam crv/thrc,Y,G2,59.8375,"$2,929.17 "
0275T,,Perq lamot/lam lumbar,Y,J8,80.3101,"$3,931.34 "
0278T,,Tempr,N,N1,,
0290T,,Laser inc for pkp/lkp recip,N,N1,,
0308T,,Insj ocular telescope prosth,Y,J8,424.2229,"$20,766.56 "
0312T,,Laps impltj nstim vagus,Y,G2,266.48,"$13,044.73 "
0313T,,Laps rmvl nstim array vagus,Y,J8,70.0192,"$3,427.58 "
0314T,,Laps rmvl vgl arry&pls gen,N,G2,37.4106,"$1,831.32 "
0315T,,Rmvl vagus nerve pls gen,N,G2,37.4106,"$1,831.32 "
0316T,,Replc vagus nerve pls gen,N,J8,496.3023,"$24,294.99 "
0330T,,Tear film img uni/bi w/i&r,N,N1,,
0335T,,Insj sinus tarsi implant,Y,J8,90.8069,"$4,445.18 "
0338T,,Trnscth renal symp denrv unl,N,G2,44.0494,"$2,156.31 "
0339T,,Trnscth renal symp denrv bil,N,G2,44.0494,"$2,156.31 "
0342T,,Thxp apheresis w/hdl delip,N,G2,41.6806,"$2,040.35 "
0347T,,Ins bone device for rsa,N,N1,,
0348T,,Rsa spine exam,N,N1,,
0349T,,Rsa upper extr exam,N,N1,,
0350T,,Rsa lower extr exam,N,N1,,
0351T,,Intraop oct brst/node spec,N,N1,,
0353T,,Intraop oct breast cavity,N,N1,,
0356T,,Insrt drug device for iop,N,N1,,
0376T,,Insert ant segment drain int,N,N1,,
0379T,,Vis field assmnt tech suppt,N,N1,,
0397T,,Ercp w/optical endomicroscpy,N,N1,,
0402T,*,Colgn cross-link crn med sep,Y,R2,17.4371,$853.58 
0404T,,Trnscrv uterin fibroid abltj,Y,J8,74.2037,"$3,632.42 "
0408T,,Insj/rplc cardiac modulj sys,Y,J8,352.7161,"$17,266.16 "
0409T,,Insj/rplc car modulj pls gn,Y,J8,307.1971,"$15,037.91 "
0410T,,Insj/rplc car modulj atr elt,Y,J8,107.8489,"$5,279.42 "
0411T,,Insj/rplc car modulj vnt elt,Y,J8,107.8489,"$5,279.42 "
0412T,,Rmvl cardiac modulj pls gen,N,G2,35.5144,"$1,738.50 "
0413T,,Rmvl car modulj tranvns elt,N,G2,35.5144,"$1,738.50 "
0414T,,Rmvl & rpl car modulj pls gn,Y,J8,307.1971,"$15,037.91 "
0415T,,Repos car modulj tranvns elt,Y,G2,5.591,$273.69 
0416T,,Reloc skin pocket pls gen,Y,G2,17.7074,$866.81 
0419T,,Dstrj neurofibroma xtnsv,Y,R2,5.4109,$264.87 
0420T,,Dstrj neurofibroma xtnsv,Y,R2,5.4109,$264.87 
0421T,,Waterjet prostate abltj cmpl,Y,G2,82.9009,"$4,058.16 "
0424T,,Insj/rplc nstim apnea compl,Y,G2,266.48,"$13,044.73 "
0425T,,Insj/rplc nstim apnea sen ld,Y,G2,123.7181,"$6,056.25 "
0426T,,Insj/rplc nstim apnea stm ld,Y,G2,123.7181,"$6,056.25 "
0427T,,Insj/rplc nstim apnea pls gn,Y,J8,474.7028,"$23,237.65 "
0428T,,Rmvl nstim apnea pls gen,N,G2,37.4106,"$1,831.32 "
0429T,,Rmvl nstim apnea sen ld,N,G2,37.4106,"$1,831.32 "
0430T,,Rmvl nstim apnea stimj ld,N,G2,37.4106,"$1,831.32 "
0431T,,Rmvl/rplc nstim apnea pls gn,Y,J8,478.0418,"$23,401.10 "
0432T,,Repos nstim apnea stimj ld,Y,G2,37.4106,"$1,831.32 "
0433T,,Repos nstim apnea sensing ld,Y,G2,37.4106,"$1,831.32 "
0434T,,Interro eval npgs apnea,N,G2,1.0355,$50.69 
0437T,,Impltj synth rnfcmt abdl wal,N,N1,,
0439T,,Myocrd contrast prfuj echo,N,N1,,
0440T,,Abltj perc uxtr/perph nrv,Y,G2,16.439,$804.72 
0441T,,Abltj perc lxtr/perph nrv,Y,G2,16.439,$804.72 
0442T,,Abltj perc plex/trncl nrv,Y,J8,83.9962,"$4,111.78 "
0443T,,R-t spctrl alys prst8 tiss,N,N1,,
0444T,,1st plmt drug elut oc ins,N,N1,,
