Addendum AA -- ASC Covered Surgical Procedures for CY 2022                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
"CPT codes and descriptions only are copyright 2021 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2021 American Dental Association.  All Rights Reserved. The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered. As a reminder, the fact that a drug, device, procedure, or service is assigned a HCPCS code and a payment rate under the OPPS does not imply coverage by the Medicare program, but indicates only how the product, procedure, or service may be paid if covered by the program. Medicare Administrative Contractors (MACs) determine whether a drug, device, procedure, or other service meets all program requirements for coverage. For example, MACs determine that it is reasonable and necessary to treat the beneficiary’s condition and whether it is excluded from payment.",,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, Jan 2022 Payment Indicator, Jan 2022 Payment Weight  , Jan 2022 Payment Rate 
0100T,,Prosth retina receive&gen,Y,J8,69.8097,"$3,484.62 "
0101T,,Esw muscskel sys nos,Y,G2,27.2525,"$1,360.34 "
0102T,,Esw phy anes lat hmrl epcndl,Y,G2,27.2525,"$1,360.34 "
0200T,,Perq sacral augmt unilat inj,Y,J8,78.1950,"$3,903.18 "
0201T,,Perq sacral augmt bilat inj,Y,G2,60.0639,"$2,998.15 "
0213T,,Njx paravert w/us cer/thor,Y,R2,8.5335,$425.96 
0214T,,Njx paravert w/us cer/thor,N,N1,,
0215T,,Njx paravert w/us cer/thor,N,N1,,
0216T,,Njx paravert w/us lumb/sac,Y,R2,8.5335,$425.96 
0217T,,Njx paravert w/us lumb/sac,N,N1,,
0218T,,Njx paravert w/us lumb/sac,N,N1,,
0232T,,Njx platelet plasma,N,N1,,
0238T,,Trluml perip athrc iliac art,Y,J8,190.4468,"$9,506.34 "
0253T,,Insert aqueous drain device,Y,J8,53.7555,"$2,683.26 "
0263T,,Im b1 mrw cel ther cmpl,N,G2,41.9243,"$2,092.69 "
0264T,,Im b1 mrw cel ther xcl hrvst,N,G2,41.9243,"$2,092.69 "
0265T,,Im b1 mrw cel ther hrvst onl,N,G2,41.9243,"$2,092.69 "
0266T,,Implt/rpl crtd sns dev total,Y,J8,460.0164,"$22,962.18 "
0268T,,Implt/rpl crtd sns dev gen,N,J8,518.1587,"$25,864.41 "
0269T,,Rev/remvl crtd sns dev total,N,G2,49.9985,"$2,495.73 "
0270T,,Rev/remvl crtd sns dev lead,Y,G2,37.5558,"$1,874.64 "
0271T,,Rev/remvl crtd sns dev gen,Y,G2,37.5558,"$1,874.64 "
0274T,,Perq lamot/lam crv/thrc,Y,G2,60.0639,"$2,998.15 "
0275T,,Perq lamot/lam lumbar,Y,J8,80.5052,"$4,018.50 "
0278T,,Tempr,N,N1,,
0308T,,Insj ocular telescope prosth,Y,J8,457.9113,"$22,857.10 "
0313T,,Laps rmvl nstim array vagus,Y,J8,70.1178,"$3,500.00 "
0314T,,Laps rmvl vgl arry&pls gen,Y,G2,37.5558,"$1,874.64 "
0315T,,Rmvl vagus nerve pls gen,Y,G2,37.5558,"$1,874.64 "
0316T,,Replc vagus nerve pls gen,N,J8,497.4569,"$24,831.06 "
0330T,,Tear film img uni/bi w/i&r,N,N1,,
0335T,,Insj sinus tarsi implant,Y,J8,90.9863,"$4,541.67 "
0338T,,Trnscth renal symp denrv unl,N,G2,44.1965,"$2,206.11 "
0339T,,Trnscth renal symp denrv bil,N,G2,44.1965,"$2,206.11 "
0342T,,Thxp apheresis w/hdl delip,N,G2,41.9243,"$2,092.69 "
0347T,,Ins bone device for rsa,N,N1,,
0348T,,Rsa spine exam,N,N1,,
0349T,,Rsa upper extr exam,N,N1,,
0350T,,Rsa lower extr exam,N,N1,,
0351T,,Intraop oct brst/node spec,N,N1,,
0353T,,Intraop oct breast cavity,N,N1,,
0379T,,Vis field assmnt tech suppt,N,N1,,
0397T,,Ercp w/optical endomicroscpy,N,N1,,
0402T,*,Colgn cross-link crn med sep,Y,R2,17.4870,$872.88 
0404T,,Trnscrv uterin fibroid abltj,Y,J8,74.2267,"$3,705.10 "
0408T,,Insj/rplc cardiac modulj sys,Y,J8,353.8407,"$17,662.31 "
0409T,,Insj/rplc car modulj pls gn,Y,J8,308.3380,"$15,391.00 "
0410T,,Insj/rplc car modulj atr elt,Y,J8,108.2557,"$5,403.69 "
0411T,,Insj/rplc car modulj vnt elt,Y,J8,108.2557,"$5,403.69 "
0412T,,Rmvl cardiac modulj pls gen,N,G2,35.6959,"$1,781.80 "
0413T,,Rmvl car modulj tranvns elt,N,G2,35.6959,"$1,781.80 "
0414T,,Rmvl & rpl car modulj pls gn,Y,J8,308.3380,"$15,391.00 "
0415T,,Repos car modulj tranvns elt,Y,G2,5.6032,$279.69 
0416T,,Reloc skin pocket pls gen,Y,G2,17.7550,$886.26 
0419T,,Dstrj neurofibroma xtnsv,Y,R2,5.4291,$271.00 
0420T,,Dstrj neurofibroma xtnsv,Y,R2,5.4291,$271.00 
0421T,,Waterjet prostate abltj cmpl,Y,G2,83.1966,"$4,152.84 "
0424T,,Insj/rplc nstim apnea compl,Y,J8,347.5908,"$17,350.34 "
0425T,,Insj/rplc nstim apnea sen ld,Y,G2,124.5044,"$6,214.76 "
0426T,,Insj/rplc nstim apnea stm ld,Y,G2,124.5044,"$6,214.76 "
0427T,,Insj/rplc nstim apnea pls gn,Y,J8,475.8687,"$23,753.46 "
0428T,,Rmvl nstim apnea pls gen,Y,J8,48.8925,"$2,440.52 "
