"Addendum FF -- ASC Device Offset Percentages for CY 2022                                                                                                     
 (For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,
"CPT codes and descriptions only are copyright 2021 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2021 American Dental Association.  All Rights Reserved. The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered. As a reminder, the fact that a drug, device, procedure, or service is assigned a HCPCS code and a payment rate under the OPPS does not imply coverage by the Medicare program, but indicates only how the product, procedure, or service may be paid if covered by the program. Medicare Administrative Contractors (MACs) determine whether a drug, device, procedure, or other service meets all program requirements for coverage. For example, MACs determine that it is reasonable and necessary to treat the beneficiary’s condition and whether it is excluded from payment.",,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,October 2022 Payment Indicator,October 2022 APC,October 2022 OPPS Payment Rate,October 2022 Device Offset Percentage,October 2022 Device Offset Amount / Device Portion
0100T,,Prosth retina receive&gen,K5,,,,
0101T,,Esw muscskel sys nos,G2,5113,"$2,684.96",0.00%,$0.00
0102T,,Esw phy anes lat hmrl epcndl,G2,5113,"$2,684.96",0.00%,$0.00
0200T,,Perq sacral augmt unilat inj,J8,5114,"$5,917.60",31.00%,"$1,834.46"
0201T,,Perq sacral augmt bilat inj,G2,5114,"$5,917.60",28.32%,$849.08
0213T,,Njx paravert w/us cer/thor,R2,5443,$840.73,0.00%,$0.00
0214T,,Njx paravert w/us cer/thor,N1,,,0.00%,
0215T,,Njx paravert w/us cer/thor,N1,,,0.00%,
0216T,,Njx paravert w/us lumb/sac,R2,5443,$840.73,0.00%,$0.00
0217T,,Njx paravert w/us lumb/sac,N1,,,0.00%,
0218T,,Njx paravert w/us lumb/sac,N1,,,0.00%,
0232T,,Njx platelet plasma,N1,,,2.82%,
0238T,,Trluml perip athrc iliac art,J8,5194,"$14,263.19",32.40%,"$4,621.27"
0253T,,Insert aqueous drain device,J8,5492,"$3,783.40",41.06%,"$1,553.46"
0263T,,Im b1 mrw cel ther cmpl,G2,5243,"$4,130.46",0.00%,$0.00
0264T,,Im b1 mrw cel ther xcl hrvst,G2,5243,"$4,130.46",0.00%,$0.00
0265T,,Im b1 mrw cel ther hrvst onl,G2,5243,"$4,130.46",0.00%,$0.00
0266T,,Implt/rpl crtd sns dev total,J8,5465,"$26,379.78",73.74%,"$19,452.45"
0268T,,Implt/rpl crtd sns dev gen,J8,5465,"$26,379.78",96.04%,"$25,335.14"
0269T,,Rev/remvl crtd sns dev total,G2,5432,"$4,925.95",0.00%,$0.00
0270T,,Rev/remvl crtd sns dev lead,G2,5461,"$3,700.07",0.00%,$0.00
0271T,,Rev/remvl crtd sns dev gen,G2,5461,"$3,700.07",0.00%,$0.00
0274T,,Perq lamot/lam crv/thrc,G2,5114,"$5,917.60",10.01%,$300.11
0275T,,Perq lamot/lam lumbar,J8,5114,"$5,917.60",34.95%,"$2,068.20"
0278T,,Tempr,N1,,,0.00%,
0308T,,Insj ocular telescope prosth,J8,5495,"$24,019.66",90.18%,"$21,660.93"
0313T,,Laps rmvl nstim array vagus,J8,5461,"$3,700.07",89.04%,"$3,294.54"
0314T,,Laps rmvl vgl arry&pls gen,G2,5461,"$3,700.07",0.00%,$0.00
0315T,,Rmvl vagus nerve pls gen,G2,5461,"$3,700.07",0.00%,$0.00
0316T,,Replc vagus nerve pls gen,J8,5465,"$26,379.78",88.10%,"$23,240.59"
0330T,,Tear film img uni/bi w/i&r,N1,,,0.00%,
0335T,,Insj sinus tarsi implant,J8,5114,"$5,917.60",52.87%,"$3,128.64"
0338T,,Trnscth renal symp denrv unl,G2,5192,"$4,354.32",0.00%,$0.00
0339T,,Trnscth renal symp denrv bil,G2,5192,"$4,354.32",0.00%,$0.00
0342T,,Thxp apheresis w/hdl delip,G2,5243,"$4,130.46",0.00%,$0.00
0347T,,Ins bone device for rsa,N1,,,0.00%,
0348T,,Rsa spine exam,N1,,,0.00%,
0349T,,Rsa upper extr exam,N1,,,0.00%,
0350T,,Rsa lower extr exam,N1,,,0.00%,
