Addendum AA -- ASC Covered Surgical Procedures for CY 2023                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2022 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2022 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting,July 2023  Payment Indicator,July 2023  Payment Weight  ,July 2023 Payment Rate 
0100T,,Prosth retina receive&gen,N,K5,,
0101T,,Esw muscskel sys nos,Y,R2,27.2829,"$1,414.73 "
0102T,,Esw phy anes lat hmrl epcndl,Y,G2,27.2829,"$1,414.73 "
0200T,,Perq sacral augmt unilat inj,Y,J8,80.4449,"$4,171.39 "
0201T,,Perq sacral augmt bilat inj,Y,G2,60.5101,"$3,137.69 "
0213T,,Njx paravert w/us cer/thor,Y,R2,8.5561,$443.67 
0214T,,Njx paravert w/us cer/thor,N,N1,,
0215T,,Njx paravert w/us cer/thor,N,N1,,
0216T,,Njx paravert w/us lumb/sac,Y,R2,8.5561,$443.67 
0217T,,Njx paravert w/us lumb/sac,N,N1,,
0218T,,Njx paravert w/us lumb/sac,N,N1,,
0232T,,Njx platelet plasma,N,N1,,
0238T,,Trluml perip athrc iliac art,Y,J8,188.6292,"$9,781.18 "
0253T,,Insert aqueous drain device,Y,J8,54.5561,"$2,828.95 "
0263T,,Im b1 mrw cel ther cmpl,N,G2,41.7677,"$2,165.82 "
0264T,,Im b1 mrw cel ther xcl hrvst,N,G2,41.7677,"$2,165.82 "
0265T,,Im b1 mrw cel ther hrvst onl,N,G2,41.7677,"$2,165.82 "
0266T,,Implt/rpl crtd sns dev total,Y,G2,268.1469,"$13,904.49 "
0268T,,Implt/rpl crtd sns dev gen,N,J8,496.0564,"$25,722.51 "
0269T,,Rev/remvl crtd sns dev total,N,G2,50.7446,"$2,631.31 "
0270T,,Rev/remvl crtd sns dev lead,Y,G2,35.0174,"$1,815.79 "
0271T,,Rev/remvl crtd sns dev gen,Y,G2,35.0174,"$1,815.79 "
0274T,,Perq lamot/lam crv/thrc,Y,G2,60.5101,"$3,137.69 "
0275T,,Perq lamot/lam lumbar,Y,J8,92.9082,"$4,817.66 "
0278T,,Tempr,N,N1,,
0308T,,Insj ocular telescope prosth,Y,J8,296.9960,"$15,400.43 "
0330T,,Tear film img uni/bi w/i&r,N,N1,,
0335T,,Insj sinus tarsi implant,Y,J8,93.1423,"$4,829.80 "
0338T,,Trnscth renal symp denrv unl,N,G2,44.8720,"$2,326.79 "
