Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)							
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.							
							
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	January 2024  Payment Indicator	January 2024  Payment Weight  	January 2024 Payment Rate 	
0101T		Esw muscskel sys nos	Y	R2	2.2859	$122.33	
0102T		Esw phy anes lat hmrl epcndl	Y	G2	28.3836	"$1,518.92"	
0200T		Perq sacral augmt unilat inj	Y	J8	81.7747	"$4,376.09"	
0201T		Perq sacral augmt bilat inj	Y	G2	63.4025	"$3,392.92"	
0213T		Njx paravert w/us cer/thor	Y	R2	8.8353	$472.81	
0214T		Njx paravert w/us cer/thor	N	N1			
0215T		Njx paravert w/us cer/thor	N	N1			
0216T		Njx paravert w/us lumb/sac	Y	R2	8.8353	$472.81	
0217T		Njx paravert w/us lumb/sac	N	N1			
0218T		Njx paravert w/us lumb/sac	N	N1			
0232T		Njx platelet plasma	N	N1			
0238T		Trluml perip athrc iliac art	Y	J8	185.1032	"$9,905.61"	
0253T		Insert aqueous drain device	Y	J8	53.3911	"$2,857.17"	
0263T		Im b1 mrw cel ther cmpl	N	G2	44.8594	"$2,400.61"	
0264T		Im b1 mrw cel ther xcl hrvst	N	G2	44.8594	"$2,400.61"	
0265T		Im b1 mrw cel ther hrvst onl	N	G2	44.8594	"$2,400.61"	
0266T		Implt/rpl crtd sns dev total	N	J8	795.8596	"$42,589.63"	
0268T		Implt/rpl crtd sns dev gen	N	J8	491.1661	"$26,284.26"	
0269T		Rev/remvl crtd sns dev total	N	G2	56.2989	"$3,012.78"	
0270T		Rev/remvl crtd sns dev lead	Y	G2	35.4703	"$1,898.16"	
0271T		Rev/remvl crtd sns dev gen	Y	G2	35.4703	"$1,898.16"	
0274T		Perq lamot/lam crv/thrc	Y	G2	63.4025	"$3,392.92"	
0275T		Perq lamot/lam lumbar	Y	J8	94.5605	"$5,060.31"	
0278T		Tempr	N	N1			
0308T		Insj ocular telescope prosth	Y	J8	266.2423	"$14,247.69"	
0330T		Tear film img uni/bi w/i&r	N	N1			
0335T		Insj sinus tarsi implant	Y	J8	84.6554	"$4,530.25"	
0338T		Trnscth renal symp denrv unl	N	G2	47.204	"$2,526.07"	
0339T		Trnscth renal symp denrv bil	N	J8	71.5904	"$3,831.09"	
0342T		Thxp apheresis w/hdl delip	N	G2	44.8594	"$2,400.61"	
0347T		Ins bone device for rsa	N	N1			
0348T		Rsa spine exam	N	N1			
0349T		Rsa upper extr exam	N	N1			
0350T		Rsa lower extr exam	N	N1			
0351T		Intraop oct brst/node spec	N	N1			
0353T		Intraop oct breast cavity	N	N1			
0379T		Vis field assmnt tech suppt	N	N1			
0397T		Ercp w/optical endomicroscpy	N	N1			
0402T		Colgn crs-link crn&pachymtry	Y	R2	18.2852	$978.51	
0408T		Insj/rplc cardiac modulj sys	Y	J8	500.577	"$26,787.88"	
0409T		Insj/rplc car modulj pls gn	Y	J8	396.8001	"$21,234.36"	
0410T		Insj/rplc car modulj atr elt	Y	J8	101.4202	"$5,427.40"	
0411T		Insj/rplc car modulj vnt elt	Y	J8	101.4202	"$5,427.40"	
0412T		Rmvl cardiac modulj pls gen	N	G2	38.0662	"$2,037.07"	
0413T		Rmvl car modulj tranvns elt	N	G2	38.0662	"$2,037.07"	
0414T		Rmvl & rpl car modulj pls gn	Y	J8	284.581	"$15,229.07"	
0415T		Repos car modulj tranvns elt	Y	G2	6.0895	$325.87	
0416T		Reloc skin pocket pls gen	Y	G2	17.6771	$945.97	
0419T		Dstrj neurofibroma xtnsv	Y	R2	6.088	$325.79	
0420T		Dstrj neurofibroma xtnsv	Y	R2	6.088	$325.79	
0421T		Waterjet prostate abltj cmpl	Y	J8	115.9149	"$6,203.07"	
0437T		Impltj synth rnfcmt abdl wal	N	N1			
0439T		Myocrd contrast prfuj echo	N	N1			
0440T		Abltj perc uxtr/perph nrv	Y	G2	16.7764	$897.77	
0441T		Abltj perc lxtr/perph nrv	Y	J8	21.983	"$1,176.40"	
0442T		Abltj perc plex/trncl nrv	Y	J8	79.9333	"$4,277.55"	
0443T		R-t spctrl alys prst8 tiss	N	N1			
0444T		1st plmt drug elut oc ins	N	N1			
0445T		Sbsqt plmt drug elut oc ins	N	N1			
0446T		Insj impltbl glucose sensor	Y	P2	17.6771	$945.97	
0447T		Rmvl impltbl glucose sensor	N	G2	1.9406	$103.85	
0448T		Remvl insj impltbl gluc sens	Y	P2	17.6771	$945.97	
0449T		Insj aqueous drain dev 1st	Y	J8	70.5103	"$3,773.29"	
0450T		Insj aqueous drain dev each	N	N1			
0479T		Fxjl abl lsr 1st 100 sq cm	Y	G2	6.088	$325.79	
0480T		Fxjl abl lsr ea addl 100sqcm	N	N1			
0510T		Rmvl sinus tarsi implant	N	G2	28.3836	"$1,518.92"	
0511T		Rmvl&rinsj sinus tarsi implt	Y	J8	89.4037	"$4,784.35"	
0512T		Esw integ wnd hlg 1st wnd	N	R2	1.9406	$103.85	
0513T		Esw integ wnd hlg ea addl	N	N1			
0523T		Ntrapx c ffr w/3d funcjl map	N	N1			
0524T		Ev cath dir chem abltj w/img	Y	J8	38.401	"$2,054.99"	
0525T		Insj/rplcmt compl iims	Y	J8	118.8805	"$6,361.77"	
0526T		Insj/rplcmt iims eltrd only	Y	J8	101.4202	"$5,427.40"	
0527T		Insj/rplcmt iims implt mntr	Y	J8	138.9606	"$7,436.34"	
0530T		Removal complete iims	N	G2	38.0662	"$2,037.07"	
0531T		Removal iims electrode only	N	G2	38.0662	"$2,037.07"	
0532T		Removal iims implt mntr only	N	G2	38.0662	"$2,037.07"	
0581T	*	Abltj mal brst tum perq crtx	Y	R2	27.4594	"$1,469.46"	
0583T		Tmpst auto tube dlvr sys	Y	J8	15.6933	$839.81	
0587T		Perq impltj/rplcmt isdns ptn	Y	J8	113.3896	"$6,067.93"	
0588T	*	Revision/removal isdns ptn	Y	R2	35.4703	"$1,898.16"	
0594T		Osteot hum xtrnl lngth dev	Y	J8	79.8488	"$4,273.03"	
0596T		Temp fml iu vlv-pmp 1st insj	Y	R2	5.8531	$313.22	
0597T		Temp fml iu valve-pmp rplcmt	Y	R2	5.8531	$313.22	
0600T		Ire abltj 1+tum organ perq	Y	J8	123.4019	"$6,603.73"	
0601T		Ire abltj 1+tumors open	Y	J8	121.1016	"$6,480.63"	
0614T		Rmvl&rplcmt ss impl dfb pg	Y	J8	355.9967	"$19,050.81"	
0616T		Insertion of iris prosthesis	Y	J8	267.2063	"$14,299.28"	
0617T		Insj iris prosth w/rmvl&insj	Y	J8	281.5321	"$15,065.91"	
0618T		Insj iris prosth sec io lens	Y	J8	208.9967	"$11,184.25"	
0619T		Cysto w/prst8 commissurotomy	Y	J8	147.0316	"$7,868.25"	
0620T		Evasc ven artlz tibl/prnl vn	N	J8	460.0245	"$24,617.75"	
0627T		Perq njx algc fluor lmbr 1st	Y	J8	195.9201	"$10,484.47"	
0628T		Perq njx algc fluor lmbr ea	N	N1			
0629T		Perq njx algc ct lmbr 1st	Y	J8	170.8295	"$9,141.77"	
0630T		Perq njx algc ct lmbr ea	N	N1			
0632T		Perq tcat us abltj nrv p-art	Y	J8	185.1032	"$9,905.61"	
0644T		Tcat rmvl/dblk icar mas perq	Y	G2	47.204	"$2,526.07"	
0647T		Insj gtube perq mag gastrpxy	Y	G2	15.544	$831.82	
0651T		Mag ctrld capsule endoscopy	Y	J8	12.089	$646.93	
0652T		Egd flx transnasal dx br/wa	Y	J8	19.576	"$1,047.59"	
0653T		Egd flx transnasal bx 1/mlt	Y	J8	19.576	"$1,047.59"	
0654T		Egd flx transnasal tube/cath	Y	G2	33.619	"$1,799.09"	
0655T		Tprnl focal abltj mal prst8	Y	G2	30.3866	"$1,626.11"	
0671T		Insj ant sgm aq drg dev 1+	Y	J8	71.3101	"$3,816.09"	
0673T		Abltj b9 thyr ndul perq lasr	Y	G2	12.7612	$682.90	
0686T		Histotripsy mal hepatcel tis	N	G2	178.0452	"$9,527.91"	
0699T		Njx pst chmbr eye medication	Y	G2	22.1195	"$1,183.70"	
0707T		Njx b1 sub mtrl sbchdrl dfct	Y	J8	41.5342	"$2,222.66"	
0714T		Tprnl lsr ablt b9 prst8 hypr	Y	G2	46.1779	"$2,471.16"	
0784T		Ins/rplmt eltrd ra spi nstim	Y	J8	172.3745	"$9,224.45"	
0785T		Revj/rmvl nea spi w/nstim	Y	G2	35.4703	"$1,898.16"	
0786T		Insj/rplcmt prq ra sac nstim	Y	J8	172.3745	"$9,224.45"	
0787T		Revj/rmvl nea sac w/nstim	Y	G2	35.4703	"$1,898.16"	
0793T		Prq tcat thrm ablt nrv p-art	Y	J8	185.1032	"$9,905.61"	
0797T		Tcat ins 2chmbr ldls pm rv	Y	J8	197.6234	"$10,575.62"	
0800T		Tcat rmvl 2chmbr ldls pm rv	Y	J8	36.4307	"$1,949.55"	
0803T		Tcat rmv&rpl2chmb ldls pm rv	Y	J8	197.6234	"$10,575.62"	
0810T		Subrta njx rx agt w/vtrc	Y	G2	43.2435	"$2,314.13"	
0813T		Egd vol adjmt bariatric balo	Y	G2	8.787	$470.23	
0816T		Opn insj/rplcmt ins ptn subq	Y	J8	263.9145	"$14,123.12"	
0817T		Opn insj/rplcmt ins ptn subf	Y	J8	263.9145	"$14,123.12"	
0818T		Revj/rmvl ins ptn subq	Y	G2	35.4703	"$1,898.16"	
0819T		Revj/rmvl ins ptn subf	Y	G2	35.4703	"$1,898.16"	
0864T	*	Low ntsty eswt corpus cvrnsm	Y	R2	2.3957	$128.20	
10004		Fna bx w/o img gdn ea addl	N	N1			
10005		Fna bx w/us gdn 1st les	Y	G2	6.8201	$364.97	
10006		Fna bx w/us gdn ea addl	N	N1			
10007		Fna bx w/fluor gdn 1st les	Y	P3		$231.83	
10008		Fna bx w/fluor gdn ea addl	N	N1			
10009		Fna bx w/ct gdn 1st les	Y	G2	6.8201	$364.97	
10010		Fna bx w/ct gdn ea addl	N	N1			
10011		Fna bx w/mr gdn 1st les	Y	R2	6.8201	$364.97	
10012		Fna bx w/mr gdn ea addl	N	N1			
10021		Fna bx w/o img gdn 1st les	Y	P3		$61.23	
10030		Img gid flu coll drg sft tis	Y	G2	6.8201	$364.97	
10035		Plmt sft tiss loclzj dev 1st	Y	N1			
10036		Plmt sft tiss loclzj dev ea	N	N1			
10040		Acne surgery	N	N1			
10060		I&d abscess simple/single	Y	P3		$81.21	
10061		I&d abscess comp/multiple	Y	P3		$121.15	
10080		I&d pilonidal cyst simple	Y	P3		$200.39	
10081		I&d pilonidal cyst comp	Y	P3		$241.65	
10120		Inc&rmvl fb subq tiss smpl	Y	P3		$105.44	
