Addendum AA -- ASC Covered Surgical Procedures for CY 2024                                                                                                                                (Including Surgical Procedures for Which Payment is Packaged)						
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.						
						
HCPCS Code		Short Descriptor	Subject to Multiple Procedure Discounting	July 2024  Payment Indicator	July 2024  Payment Weight  	July 2024 Payment Rate 
0101T		Esw muscskel sys nos	Y	R2	2.2856	$122.31
0102T		Esw phy anes lat hmrl epcndl	Y	G2	28.3804	"$1,518.75"
0200T		Perq sacral augmt unilat inj	Y	J8	81.7700	"$4,375.84"
0201T		Perq sacral augmt bilat inj	Y	G2	63.3954	"$3,392.54"
0213T		Njx paravert w/us cer/thor	Y	R2	8.8343	$472.76
0214T		Njx paravert w/us cer/thor	N	N1		
0215T		Njx paravert w/us cer/thor	N	N1		
0216T		Njx paravert w/us lumb/sac	Y	R2	8.8343	$472.76
0217T		Njx paravert w/us lumb/sac	N	N1		
0218T		Njx paravert w/us lumb/sac	N	N1		
0232T		Njx platelet plasma	N	N1		
0238T		Trluml perip athrc iliac art	Y	J8	185.0918	"$9,905.00"
0253T		Insert aqueous drain device	Y	J8	53.3888	"$2,857.05"
0263T		Im b1 mrw cel ther cmpl	N	G2	44.8542	"$2,400.33"
0264T		Im b1 mrw cel ther xcl hrvst	N	G2	44.8542	"$2,400.33"
0265T		Im b1 mrw cel ther hrvst onl	N	G2	44.8542	"$2,400.33"
0266T		Implt/rpl crtd sns dev total	N	J8	795.8536	"$42,589.31"
0268T		Implt/rpl crtd sns dev gen	N	J8	491.1636	"$26,284.13"
0269T		Rev/remvl crtd sns dev total	N	G2	56.2926	"$3,012.44"
0270T		Rev/remvl crtd sns dev lead	Y	G2	35.4662	"$1,897.94"
0271T		Rev/remvl crtd sns dev gen	Y	G2	35.4662	"$1,897.94"
0274T		Perq lamot/lam crv/thrc	Y	G2	63.3954	"$3,392.54"
0275T		Perq lamot/lam lumbar	Y	J8	94.5575	"$5,060.15"
0278T		Tempr	N	N1		
0308T		Insj ocular telescope prosth	Y	J8	266.2387	"$14,247.50"
0330T		Tear film img uni/bi w/i&r	N	N1		
0335T		Insj sinus tarsi implant	Y	J8	84.6513	"$4,530.03"
0338T		Trnscth renal symp denrv unl	N	G2	47.1987	"$2,525.79"
0339T		Trnscth renal symp denrv bil	N	J8	71.5884	"$3,830.98"
0342T		Thxp apheresis w/hdl delip	N	G2	44.8542	"$2,400.33"
0347T		Ins bone device for rsa	N	N1		
0348T		Rsa spine exam	N	N1		
0349T		Rsa upper extr exam	N	N1		
0350T		Rsa lower extr exam	N	N1		
0351T		Intraop oct brst/node spec	N	N1		
0353T		Intraop oct breast cavity	N	N1		
0379T		Vis field assmnt tech suppt	N	N1		
0397T		Ercp w/optical endomicroscpy	N	N1		
0402T		Colgn crs-link crn&pachymtry	Y	R2	18.2833	$978.41
0408T		Insj/rplc cardiac modulj sys	Y	J8	500.5727	"$26,787.65"
0409T		Insj/rplc car modulj pls gn	Y	J8	396.7977	"$21,234.23"
0410T		Insj/rplc car modulj atr elt	Y	J8	101.4140	"$5,427.07"
0411T		Insj/rplc car modulj vnt elt	Y	J8	101.4140	"$5,427.07"
0412T		Rmvl cardiac modulj pls gen	N	G2	38.0618	"$2,036.84"
0413T		Rmvl car modulj tranvns elt	N	G2	38.0618	"$2,036.84"
0414T		Rmvl & rpl car modulj pls gn	Y	J8	284.5637	"$15,228.14"
0415T		Repos car modulj tranvns elt	Y	G2	6.0889	$325.84
0416T		Reloc skin pocket pls gen	Y	G2	17.6752	$945.87
0419T		Dstrj neurofibroma xtnsv	Y	R2	6.0874	$325.76
0420T		Dstrj neurofibroma xtnsv	Y	R2	6.0874	$325.76
0421T		Waterjet prostate abltj cmpl	Y	J8	115.9095	"$6,202.78"
0437T		Impltj synth rnfcmt abdl wal	N	N1		
0439T		Myocrd contrast prfuj echo	N	N1		
0440T		Abltj perc uxtr/perph nrv	Y	G2	16.7745	$897.67
0441T		Abltj perc lxtr/perph nrv	Y	J8	21.9819	"$1,176.34"
0442T		Abltj perc plex/trncl nrv	Y	J8	79.9301	"$4,277.38"
0443T		R-t spctrl alys prst8 tiss	N	N1		
0444T		1st plmt drug elut oc ins	N	N1		
0445T		Sbsqt plmt drug elut oc ins	N	N1		
0446T		Insj impltbl glucose sensor	Y	P2	17.6752	$945.87
0447T		Rmvl impltbl glucose sensor	N	G2	1.9404	$103.84
0448T		Remvl insj impltbl gluc sens	Y	P2	17.6752	$945.87
0449T		Insj aqueous drain dev 1st	Y	J8	70.5079	"$3,773.16"
0450T		Insj aqueous drain dev each	N	N1		
0479T		Fxjl abl lsr 1st 100 sq cm	Y	G2	6.0874	$325.76
0480T		Fxjl abl lsr ea addl 100sqcm	N	N1		
0510T		Rmvl sinus tarsi implant	N	G2	28.3804	"$1,518.75"
0511T		Rmvl&rinsj sinus tarsi implt	Y	J8	89.4002	"$4,784.16"
0512T		Esw integ wnd hlg 1st wnd	N	R2	1.9404	$103.84
0513T		Esw integ wnd hlg ea addl	N	N1		
0523T		Ntrapx c ffr w/3d funcjl map	N	N1		
0524T		Ev cath dir chem abltj w/img	Y	J8	38.3989	"$2,054.88"
0525T		Insj/rplcmt compl iims	Y	J8	118.8730	"$6,361.37"
0526T		Insj/rplcmt iims eltrd only	Y	J8	101.4140	"$5,427.07"
0527T		Insj/rplcmt iims implt mntr	Y	J8	138.9593	"$7,436.27"
0530T		Removal complete iims	N	G2	38.0618	"$2,036.84"
0531T		Removal iims electrode only	N	G2	38.0618	"$2,036.84"
0532T		Removal iims implt mntr only	N	G2	38.0618	"$2,036.84"
0581T	*	Abltj mal brst tum perq crtx	Y	R2	27.4564	"$1,469.30"
0583T		Tmpst auto tube dlvr sys	Y	J8	15.6923	$839.76
0587T		Perq impltj/rplcmt isdns ptn	Y	J8	113.3886	"$6,067.88"
0588T	*	Revision/removal isdns ptn	Y	R2	35.4662	"$1,897.94"
0594T		Osteot hum xtrnl lngth dev	Y	J8	79.8440	"$4,272.77"
0596T		Temp fml iu vlv-pmp 1st insj	Y	R2	5.8525	$313.19
0597T		Temp fml iu valve-pmp rplcmt	Y	R2	5.8525	$313.19
0600T		Ire abltj 1+tum organ perq	Y	J8	123.3976	"$6,603.50"
0601T		Ire abltj 1+tumors open	Y	J8	121.0969	"$6,480.38"
0614T		Rmvl&rplcmt ss impl dfb pg	Y	J8	355.9887	"$19,050.38"
0616T		Insertion of iris prosthesis	Y	J8	267.2028	"$14,299.09"
0617T		Insj iris prosth w/rmvl&insj	Y	J8	281.5297	"$15,065.78"
0618T		Insj iris prosth sec io lens	Y	J8	208.9889	"$11,183.83"
0619T		Cysto w/prst8 commissurotomy	Y	J8	147.0303	"$7,868.18"
0620T		Evasc ven artlz tibl/prnl vn	N	J8	460.0172	"$24,617.36"
0621T		Trabeculostomy interno laser	Y	J8	48.1246	"$2,575.34"
0627T		Perq njx algc fluor lmbr 1st	Y	J8	195.9164	"$10,484.27"
0628T		Perq njx algc fluor lmbr ea	N	N1		
0629T		Perq njx algc ct lmbr 1st	Y	J8	170.8226	"$9,141.40"
0630T		Perq njx algc ct lmbr ea	N	N1		
