"Addendum BB -- ASC Covered Ancillary Services Integral to Covered Surgical Procedures for CY 2024 
(Including Ancillary Services for Which Payment is Packaged)",,,,,,,
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.,,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,Drug and Device Pass-Through Expiration during Calendar Year,October 2024 Payment Indicator,October 2024 Payment Weight  ,October 2024 Payment Rate ,October 2024 IRA-22 Adjusted Copayment1
0331T,,Heart symp image plnr,,Z2,13.7628,$736.50,
0332T,,Heart symp image plnr spect,,Z2,13.7628,$736.50,
0394T,,Hdr elctrnc skn surf brchytx,,Z2,2.6047,$139.39,
0395T,,Hdr elctr ntrst/ntrcv brchtx,,Z2,6.9492,$371.88,
0422T,,Tactile breast img uni/bi,,Z2,0.8807,$47.13,
0598T,,Ncntc r-t fluor wnd img 1st,,Z2,3.0424,$162.81,
0599T,,Ncntc r-t fluor wnd img ea,,N1,,,
0609T,,Mrs disc pain acquisj data,,Z2,2.3751,$127.10,
0611T,,Mrs disc pain alg alys data,,Z2,2.3751,$127.10,
0633T,,Ct breast w/3d uni c-,,Z2,1.0655,$57.02,
0634T,,Ct breast w/3d uni c+,,Z2,1.7808,$95.30,
0635T,,Ct breast w/3d uni c-/c+,,Z2,1.7808,$95.30,
0636T,,Ct breast w/3d bi c-,,Z2,2.3751,$127.10,
0637T,,Ct breast w/3d bi c+,,Z2,3.7274,$199.47,
0638T,,Ct breast w/3d bi c-/c+,,Z2,3.7274,$199.47,
0648T,,Quan mr tis wo mri 1orgn,,Z2,9.6691,$517.43,
0689T,,Quan us tis charac w/o dx us,,Z2,0.8807,$47.13,
0697T,,Quan mr tis wo mri mlt orgn,,Z2,9.6691,$517.43,
0698T,,Quan mr tiss w/mri mlt orgn,,Z2,9.6691,$517.43,
0870T,,Imp subq prtl ascts pmp sys,,K5,,,
0871T,,Rplcmt subq prtl ascites pmp,,K5,,,
0872T,,Rplcmt ndwllg bldr&prtl cath,,K5,,,
0873T,,Revj subq prtl asct pmp sys,,K5,,,
0874T,,Rmvl pertl ascites pmp sys,,K5,,,
0875T,,Prgrm subq prtl asct pmp sys,,K5,,,
70010,,Contrast x-ray of brain,,N1,,,
70015,,Contrast x-ray of brain,,N1,,,
70030,,X-ray eye for foreign body,,N1,,,
70100,,X-ray exam of jaw <4views,,N1,,,
70110,,X-ray exam of jaw 4/> views,,N1,,,
70120,,X-ray exam of mastoids,,N1,,,
70130,,X-ray exam of mastoids,,N1,,,
70134,,X-ray exam of middle ear,,N1,,,
70140,,X-ray exam of facial bones,,N1,,,
70150,,X-ray exam of facial bones,,N1,,,
70160,,X-ray exam of nasal bones,,N1,,,
70170,,X-ray exam of tear duct,,N1,,,
70190,,X-ray exam of eye sockets,,N1,,,
70200,,X-ray exam of eye sockets,,N1,,,
70210,,X-ray exam of sinuses,,N1,,,
70220,,X-ray exam of sinuses,,N1,,,
70240,,X-ray exam pituitary saddle,,N1,,,
70250,,X-ray exam of skull,,N1,,,
70260,,X-ray exam of skull,,N1,,,
70300,,X-ray exam of teeth,,N1,,,
70310,,X-ray exam of teeth,,N1,,,
70320,,Full mouth x-ray of teeth,,N1,,,
70328,,X-ray exam of jaw joint,,N1,,,
70330,,X-ray exam of jaw joints,,N1,,,
70332,,X-ray exam of jaw joint,,N1,,,
70336,,Magnetic image jaw joint,,Z2,2.3751,$127.10,
70350,,X-ray head for orthodontia,,N1,,,
70355,,Panoramic x-ray of jaws,,N1,,,
70360,,X-ray exam of neck,,N1,,,
70370,,Throat x-ray & fluoroscopy,,N1,,,
70371,,Speech evaluation complex,,N1,,,
70380,,X-ray exam of salivary gland,,N1,,,
70390,,X-ray exam of salivary duct,,N1,,,
70450,,Ct head/brain w/o dye,,Z2,1.0655,$57.02,
70460,,Ct head/brain w/dye,,Z2,1.7808,$95.30,
70470,,Ct head/brain w/o & w/dye,,Z2,1.7808,$95.30,
70480,,Ct orbit/ear/fossa w/o dye,,Z2,1.0655,$57.02,
70481,,Ct orbit/ear/fossa w/dye,,Z2,1.7808,$95.30,
70482,,Ct orbit/ear/fossa w/o&w/dye,,Z2,1.7808,$95.30,
70486,,Ct maxillofacial w/o dye,,Z2,1.0655,$57.02,
70487,,Ct maxillofacial w/dye,,Z2,1.7808,$95.30,
70488,,Ct maxillofacial w/o & w/dye,,Z2,1.7808,$95.30,
70490,,Ct soft tissue neck w/o dye,,Z2,1.0655,$57.02,
70491,,Ct soft tissue neck w/dye,,Z2,1.7808,$95.30,
70492,,Ct sft tsue nck w/o & w/dye,,Z2,1.7808,$95.30,
70496,,Ct angiography head,,Z2,1.7808,$95.30,
70498,,Ct angiography neck,,Z2,1.7808,$95.30,
70540,,Mri orbit/face/neck w/o dye,,Z2,2.3751,$127.10,
70542,,Mri orbit/face/neck w/dye,,Z3,,$218.03,
70543,,Mri orbt/fac/nck w/o &w/dye,,Z2,3.7274,$199.47,
70544,,Mr angiography head w/o dye,,Z2,2.3751,$127.10,
70545,,Mr angiography head w/dye,,Z3,,$190.41,
70546,,Mr angiograph head w/o&w/dye,,Z2,3.7274,$199.47,
70547,,Mr angiography neck w/o dye,,Z2,2.3751,$127.10,
70548,,Mr angiography neck w/dye,,Z3,,$199.06,
70549,,Mr angiograph neck w/o&w/dye,,Z2,3.7274,$199.47,
70551,,Mri brain stem w/o dye,,Z2,2.3751,$127.10,
70552,,Mri brain stem w/dye,,Z3,,$214.37,
70553,,Mri brain stem w/o & w/dye,,Z2,3.7274,$199.47,
70554,,Fmri brain by tech,,Z2,2.3751,$127.10,
70555,,Fmri brain by phys/psych,,Z2,2.3751,$127.10,
70557,,Mri brain w/o dye,,Z2,5.347,$286.14,
70558,,Mri brain w/dye,,Z2,1.7808,$95.30,
70559,,Mri brain w/o & w/dye,,Z2,1.7808,$95.30,
71045,,X-ray exam chest 1 view,,Z3,,$18.97,
71046,,X-ray exam chest 2 views,,Z3,,$25.63,
71047,,X-ray exam chest 3 views,,N1,,,
71048,,X-ray exam chest 4+ views,,N1,,,
71100,,X-ray exam ribs uni 2 views,,N1,,,
71101,,X-ray exam unilat ribs/chest,,N1,,,
71110,,X-ray exam ribs bil 3 views,,N1,,,
71111,,X-ray exam ribs/chest4/> vws,,N1,,,
71120,,X-ray exam breastbone 2/>vws,,N1,,,
71130,,X-ray strenoclavic jt 3/>vws,,N1,,,
71250,,Ct thorax dx c-,,Z2,1.0655,$57.02,
71260,,Ct thorax dx c+,,Z2,1.7808,$95.30,
71270,,Ct thorax dx c-/c+,,Z2,1.7808,$95.30,
71275,,Ct angiography chest,,Z2,1.7808,$95.30,
71550,,Mri chest w/o dye,,Z2,2.3751,$127.10,
71551,,Mri chest w/dye,,Z3,,$322.22,
71552,,Mri chest w/o & w/dye,,Z2,3.7274,$199.47,
72020,,X-ray exam of spine 1 view,,N1,,,
72040,,X-ray exam neck spine 2-3 vw,,N1,,,
72050,,X-ray exam neck spine 4/5vws,,N1,,,
72052,,X-ray exam neck spine 6/>vws,,N1,,,
72070,,X-ray exam thorac spine 2vws,,N1,,,
72072,,X-ray exam thorac spine 3vws,,N1,,,
72074,,X-ray exam thorac spine4/>vw,,N1,,,
72080,,X-ray exam thoracolmb 2/> vw,,N1,,,
72081,,X-ray exam entire spi 1 vw,,N1,,,
72082,,X-ray exam entire spi 2/3 vw,,N1,,,
72083,,X-ray exam entire spi 4/5 vw,,Z2,1.0655,$57.02,
72084,,X-ray exam entire spi 6/> vw,,Z2,1.0655,$57.02,
72100,,X-ray exam l-s spine 2/3 vws,,N1,,,
72110,,X-ray exam l-2 spine 4/>vws,,N1,,,
72114,,X-ray exam l-s spine bending,,N1,,,
72120,,X-ray bend only l-s spine,,N1,,,
72125,,Ct neck spine w/o dye,,Z2,1.0655,$57.02,
72126,,Ct neck spine w/dye,,Z3,,$129.48,
72127,,Ct neck spine w/o & w/dye,,Z2,1.7808,$95.30,
72128,,Ct chest spine w/o dye,,Z2,1.0655,$57.02,
72129,,Ct chest spine w/dye,,Z2,1.7808,$95.30,
72130,,Ct chest spine w/o & w/dye,,Z2,1.7808,$95.30,
72131,,Ct lumbar spine w/o dye,,Z2,1.0655,$57.02,
72132,,Ct lumbar spine w/dye,,Z3,,$129.82,
72133,,Ct lumbar spine w/o & w/dye,,Z2,1.7808,$95.30,
72141,,Mri neck spine w/o dye,,Z3,,$143.14,
72142,,Mri neck spine w/dye,,Z3,,$219.36,
72146,,Mri chest spine w/o dye,,Z3,,$142.80,
72147,,Mri chest spine w/dye,,Z3,,$217.03,
72148,,Mri lumbar spine w/o dye,,Z3,,$143.80,
72149,,Mri lumbar spine w/dye,,Z3,,$214.37,
72156,,Mri neck spine w/o & w/dye,,Z2,3.7274,$199.47,
72157,,Mri chest spine w/o & w/dye,,Z2,3.7274,$199.47,
72158,,Mri lumbar spine w/o & w/dye,,Z2,3.7274,$199.47,
72170,,X-ray exam of pelvis,,N1,,,
72190,,X-ray exam of pelvis,,N1,,,
72191,,Ct angiograph pelv w/o&w/dye,,Z2,1.7808,$95.30,
72192,,Ct pelvis w/o dye,,Z2,1.0655,$57.02,
72193,,Ct pelvis w/dye,,Z2,1.7808,$95.30,
72194,,Ct pelvis w/o & w/dye,,Z2,1.7808,$95.30,
72195,,Mri pelvis w/o dye,,Z2,2.3751,$127.10,
72196,,Mri pelvis w/dye,,Z3,,$214.04,
72197,,Mri pelvis w/o & w/dye,,Z2,3.7274,$199.47,
72200,,X-ray exam si joints,,N1,,,
72202,,X-ray exam si joints 3/> vws,,N1,,,
72220,,X-ray exam sacrum tailbone,,N1,,,
72240,,Myelography neck spine,,N1,,,
72255,,Myelography thoracic spine,,N1,,,
72265,,Myelography l-s spine,,N1,,,
72270,,Myelogphy 2/> spine regions,,N1,,,
72285,,Discography cerv/thor spine,,N1,,,
72295,,X-ray of lower spine disk,,N1,,,
73000,,X-ray exam of collar bone,,N1,,,
73010,,X-ray exam of shoulder blade,,N1,,,
73020,,X-ray exam of shoulder,,N1,,,
73030,,X-ray exam of shoulder,,N1,,,
73040,,Contrast x-ray of shoulder,,N1,,,
73050,,X-ray exam of shoulders,,N1,,,
73060,,X-ray exam of humerus,,N1,,,
73070,,X-ray exam of elbow,,N1,,,
73080,,X-ray exam of elbow,,N1,,,
