CBSA	WI24	CBSA Name
01	0.6603	ALABAMA
02	1.1875	ALASKA
03	0.8069	ARIZONA
04	0.7273	ARKANSAS
05	1.2645	CALIFORNIA
06	1.0474	COLORADO
07	1.0075	CONNECTICUT
10	0.8268	FLORIDA
11	0.7678	GEORGIA
12	1.152	HAWAII
13	0.7599	IDAHO
14	0.8325	ILLINOIS
15	0.8347	INDIANA
16	0.7815	IOWA
17	0.7867	KANSAS
18	0.7863	KENTUCKY
19	0.6765	LOUISIANA
20	0.8281	MAINE
21	0.8281	MARYLAND
22	1.26	MASSACHUSETTS
23	0.8297	MICHIGAN
24	0.9057	MINNESOTA
25	0.6942	MISSISSIPPI
26	0.7611	MISSOURI
27	0.8273	MONTANA
28	0.8575	NEBRASKA
29	1.071	NEVADA
30	0.9798	NEW HAMPSHIRE
32	0.8397	NEW MEXICO
33	0.8476	NEW YORK
34	0.7962	NORTH CAROLINA
35	0.8916	NORTH DAKOTA
36	0.7873	OHIO
37	0.7708	OKLAHOMA
38	1.021	OREGON
39	0.8021	PENNSYLVANIA
40	0.4654	PUERTO RICO
42	0.8107	SOUTH CAROLINA
43	0.8117	SOUTH DAKOTA
44	0.7341	TENNESSEE
45	0.8301	TEXAS
46	0.8678	UTAH
47	0.9347	VERMONT
48	0.6745	VIRGIN ISLANDS
49	0.8158	VIRGINIA
50	0.9669	WASHINGTON
51	0.7085	WEST VIRGINIA
52	0.8543	WISCONSIN
53	0.9522	WYOMING
65	0.9611	GUAM
10180	0.9008	"Abilene, TX"
10380	0.3013	"Aguadilla-Isabela, PR"
10420	0.7875	"Akron, OH"
10500	0.9288	"Albany, GA"
10540	1.0885	"Albany-Lebanon, OR"
10580	0.8071	"Albany-Schenectady-Troy, NY"
10740	0.901	"Albuquerque, NM"
10780	0.9006	"Alexandria, LA"
10900	0.9456	"Allentown-Bethlehem-Easton, PA-NJ"
11020	0.8557	"Altoona, PA"
11100	0.7658	"Amarillo, TX"
11180	0.8656	"Ames, IA"
11244	1.2183	"Anaheim-Santa Ana-Irvine, CA"
11260	1.159	"Anchorage, AK"
11460	1.0153	"Ann Arbor, MI"
11500	0.6567	"Anniston-Oxford, AL"
11540	0.9264	"Appleton, WI"
11640	0.3261	"Arecibo, PR"
11700	0.849	"Asheville, NC"
12020	0.9014	"Athens-Clarke County, GA"
12060	1.0064	"Atlanta-Sandy Springs-Alpharetta, GA"
12100	1.0877	"Atlantic City-Hammonton, NJ"
12220	0.6797	"Auburn-Opelika, AL"
12260	0.8357	"Augusta-Richmond County, GA-SC"
12420	0.9333	"Austin-Round Rock-Georgetown, TX"
12540	1.183	"Bakersfield, CA"
12580	0.979	"Baltimore-Columbia-Towson, MD"
12620	0.9161	"Bangor, ME"
12700	1.1187	"Barnstable Town, MA"
12940	0.8162	"Baton Rouge, LA"
12980	0.8621	"Battle Creek, MI"
13020	0.8912	"Bay City, MI"
13140	0.9315	"Beaumont-Port Arthur, TX"
13220	0.7908	"Beckley, WV"
13380	1.2999	"Bellingham, WA"
13460	1.1012	"Bend, OR"
13740	0.8992	"Billings, MT"
13780	0.8428	"Binghamton, NY"
13820	0.7916	"Birmingham-Hoover, AL"
13900	0.9026	"Bismarck, ND"
13980	0.8567	"Blacksburg-Christiansburg, VA"
14010	0.8579	"Bloomington, IL"
14020	0.8972	"Bloomington, IN"
14100	0.8323	"Bloomsburg-Berwick, PA"
14260	0.9083	"Boise City, ID"
14454	1.1568	"Boston, MA"
14500	1.0181	"Boulder, CO"
14540	0.8845	"Bowling Green, KY"
14740	1.2524	"Bremerton-Silverdale-Port Orchard, WA"
14860	1.1806	"Bridgeport-Stamford-Norwalk, CT"
15180	0.8089	"Brownsville-Harlingen, TX"
15260	0.9282	"Brunswick, GA"
15380	1.0538	"Buffalo-Cheektowaga, NY"
15500	0.8557	"Burlington, NC"
15540	0.9603	"Burlington-South Burlington, VT"
15680	0.8847	"California-Lexington Park, MD"
15764	1.0482	"Cambridge-Newton-Framingham, MA"
15804	1.0121	"Camden, NJ"
15940	0.7454	"Canton-Massillon, OH"
15980	0.9202	"Cape Coral-Fort Myers, FL"
16020	0.7249	"Cape Girardeau, MO-IL"
16060	0.8144	"Carbondale-Marion, IL"
16180	0.9097	"Carson City, NV"
16220	0.8889	"Casper, WY"
16300	0.867	"Cedar Rapids, IA"
16540	1.125	"Chambersburg-Waynesboro, PA"
16580	0.8899	"Champaign-Urbana, IL"
16620	0.7976	"Charleston, WV"
16700	0.8875	"Charleston-North Charleston, SC"
16740	0.9464	"Charlotte-Concord-Gastonia, NC-SC"
16820	0.8903	"Charlottesville, VA"
16860	0.8514	"Chattanooga, TN-GA"
16940	0.8938	"Cheyenne, WY"
16984	1.0419	"Chicago-Naperville-Evanston, IL"
17020	1.0891	"Chico, CA"
17140	0.9103	"Cincinnati, OH-KY-IN"
17300	0.7166	"Clarksville, TN-KY"
17420	0.7644	"Cleveland, TN"
17460	0.8541	"Cleveland-Elyria, OH"
17660	0.9184	"Coeur d'Alene, ID"
17780	0.8968	"College Station-Bryan, TX"
17820	0.9528	"Colorado Springs, CO"
17860	0.8377	"Columbia, MO"
17900	0.8565	"Columbia, SC"
17980	0.7849	"Columbus, GA-AL"
18020	0.968	"Columbus, IN"
18140	0.9486	"Columbus, OH"
18580	0.9752	"Corpus Christi, TX"
18700	1.0808	"Corvallis, OR"
18880	0.9039	"Crestview-Fort Walton Beach-Destin, FL"
19060	0.8575	"Cumberland, MD-WV"
19124	0.9625	"Dallas-Plano-Irving, TX"
19140	0.8992	"Dalton, GA"
19180	0.9288	"Danville, IL"
19300	0.7541	"Daphne-Fairhope-Foley, AL"
19340	0.7886	"Davenport-Moline-Rock Island, IA-IL"
19430	0.872	"Dayton-Kettering, OH"
19460	0.6722	"Decatur, AL"
19500	0.8795	"Decatur, IL"
19660	0.8015	"Deltona-Daytona Beach-Ormond Beach, FL"
19740	0.9881	"Denver-Aurora-Lakewood, CO"
19780	0.8706	"Des Moines-West Des Moines, IA"
19804	0.8843	"Detroit-Dearborn-Livonia, MI"
20020	0.6495	"Dothan, AL"
20100	1.0899	"Dover, DE"
20220	0.8377	"Dubuque, IA"
20260	0.9748	"Duluth, MN-WI"
20500	0.9544	"Durham-Chapel Hill, NC"
20700	0.9012	"East Stroudsburg, PA"
20740	0.9669	"Eau Claire, WI"
20940	0.9542	"El Centro, CA"
20994	1.0282	"Elgin, IL"
21060	0.8248	"Elizabethtown-Fort Knox, KY"
21140	0.9167	"Elkhart-Goshen, IN"
21300	0.8111	"Elmira, NY"
21340	0.8224	"El Paso, TX"
21420	0.8311	"Enid, OK"
21500	0.7555	"Erie, PA"
21660	1.2159	"Eugene-Springfield, OR"
21780	0.9163	"Evansville, IN-KY"
21820	0.9232	"Fairbanks, AK"
22020	0.8603	"Fargo, ND-MN"
22140	0.8309	"Farmington, NM"
22180	0.8115	"Fayetteville, NC"
22220	0.8168	"Fayetteville-Springdale-Rogers, AR"
22380	1.047	"Flagstaff, AZ"
22420	1.025	"Flint, MI"
22500	0.8123	"Florence, SC"
22520	0.6614	"Florence-Muscle Shoals, AL"
22540	0.8184	"Fond du Lac, WI"
22660	0.9742	"Fort Collins, CO"
22744	0.97	"Fort Lauderdale-Pompano Beach-Sunrise, FL"
22900	0.8305	"Fort Smith, AR-OK"
23060	0.9728	"Fort Wayne, IN"
