CBSA	CBSA Name	WI25
01	ALABAMA	0.6471
01	ALABAMA	0.7158
02	ALASKA	1.1396
03	ARIZONA	0.8735
04	ARKANSAS	0.7185
04	ARKANSAS	0.789
05	CALIFORNIA	1.2602
06	COLORADO	1.0278
07	CONNECTICUT	1.0197
07	CONNECTICUT	0.9571
08	DELAWARE	1.0385
10	FLORIDA	0.8523
11	GEORGIA	0.7556
11	GEORGIA	0.9561
12	HAWAII	1.1036
13	IDAHO	0.7219
13	IDAHO	0.8966
14	ILLINOIS	0.8188
14	ILLINOIS	0.8824
15	INDIANA	0.8657
15	INDIANA	0.9104
16	IOWA	0.8052
17	KANSAS	0.8183
18	KENTUCKY	0.8152
18	KENTUCKY	0.8705
19	LOUISIANA	0.6789
19	LOUISIANA	0.7283
20	MAINE	0.8236
21	MARYLAND	0.8679
21	MARYLAND	0.8757
22	MASSACHUSETTS	1.197
22	MASSACHUSETTS	1.0285
23	MICHIGAN	0.8421
23	MICHIGAN	0.8512
24	MINNESOTA	0.8975
24	MINNESOTA	0.9261
25	MISSISSIPPI	0.724
26	MISSOURI	0.7941
27	MONTANA	0.8835
28	NEBRASKA	0.8639
29	NEVADA	1.0343
30	NEW HAMPSHIRE	0.9925
31	NEW JERSEY	
32	NEW MEXICO	0.9268
33	NEW YORK	0.8653
33	NEW YORK	0.8686
34	NORTH CAROLINA	0.8012
34	NORTH CAROLINA	0.9067
34	NORTH CAROLINA	0.8066
35	NORTH DAKOTA	0.8503
36	OHIO	0.801
37	OKLAHOMA	0.8172
38	OREGON	1.0467
39	PENNSYLVANIA	0.8723
39	PENNSYLVANIA	1.0724
40	PUERTO RICO	0.3363
40	PUERTO RICO	0.4421
40	PUERTO RICO	0.2949
40	PUERTO RICO	0.2862
40	PUERTO RICO	0.3039
41	RHODE ISLAND	
42	SOUTH CAROLINA	0.801
43	SOUTH DAKOTA	0.7807
44	TENNESSEE	0.7514
45	TEXAS	0.8434
46	UTAH	0.8877
47	VERMONT	0.9028
48	VIRGIN ISLANDS	0.6408
49	VIRGINIA	0.8177
49	VIRGINIA	0.973
49	VIRGINIA	0.8276
50	WASHINGTON	0.9364
51	WEST VIRGINIA	0.6963
51	WEST VIRGINIA	0.7577
51	WEST VIRGINIA	0.8146
52	WISCONSIN	0.8406
53	WYOMING	0.9871
65	GUAM	0.9611
10180	"Abilene, TX"	0.9776
10380	"Aguadilla, PR"	0.3062
10420	"Akron, OH"	0.8045
10500	"Albany, GA"	1.0004
10540	"Albany, OR"	1.0458
10580	"Albany-Schenectady-Troy, NY"	0.8163
10740	"Albuquerque, NM"	0.9233
10780	"Alexandria, LA"	0.9248
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1.0313
11020	"Altoona, PA"	0.8915
11100	"Amarillo, TX"	0.7943
11180	"Ames, IA"	0.9115
11200	"Amherst Town-Northampton, MA"	0.9404
11244	"Anaheim-Santa Ana-Irvine, CA"	1.2433
11260	"Anchorage, AK"	1.1505
11460	"Ann Arbor, MI"	0.9895
11500	"Anniston-Oxford, AL"	0.7049
11540	"Appleton, WI"	0.9506
11640	"Arecibo, PR"	0.3118
11694	"Arlington-Alexandria-Reston, VA-WV"	1.0311
11700	"Asheville, NC"	0.8873
12020	"Athens-Clarke County, GA"	0.9064
12054	"Atlanta-Sandy Springs-Roswell, GA"	1.0211
12100	"Atlantic City-Hammonton, NJ"	1.0333
12100	"Atlantic City-Hammonton, NJ"	1.0303
12220	"Auburn-Opelika, AL"	0.6747
12260	"Augusta-Richmond County, GA-SC"	0.8016
12420	"Austin-Round Rock-San Marcos, TX"	0.988
12540	"Bakersfield-Delano, CA"	1.225
12580	"Baltimore-Columbia-Towson, MD"	0.9853
12620	"Bangor, ME"	0.8979
12700	"Barnstable Town, MA"	1.1532
12940	"Baton Rouge, LA"	0.8375
12980	"Battle Creek, MI"	0.8988
