"Addendum FF -- ASC Device Offset Percentages for CY 2026 
(For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,,
CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved. ,,,,,,,,
,,,,,,,,
HCPCS Code,,Short Descriptor,January 2026 Payment Indicator,January 2026 APC,January 2026 APC Device Offset Percentage,January 2026 OPPS Payment Rate,January 2026 Device Offset Percentage,January 2026 Device Offset Amount / Device Portion
0095T,,Rmvl artific disc addl crvcl,N1,,,,,
0098T,,Rev artific disc addl,N1,,,,,
0101T,,Esw muscskel sys nos,R2,5111,0.04%,$252.29,0.00%,$0.00
0102T,,Esw phy anes lat hmrl epcndl,G2,5113,4.75%,"$3,061.63",0.00%,$0.00
0164T,,Remove lumb artif disc addl,N1,,,,,
0165T,,Revise lumb artif disc addl,N1,,,,,
0184T,,Exc rectal tumor endoscopic,G2,5331,43.15%,"$5,247.97",0.60%,$16.92
0200T,,Perq sacral augmt unilat inj,J8,5114,20.74%,"$6,878.60",32.17%,"$2,212.85"
0201T,,Perq sacral augmt bilat inj,G2,5114,20.74%,"$6,878.60",23.39%,$864.38
0202T,,Post vert arthrplst 1 lumbar,J8,5115,45.89%,"$12,665.27",61.60%,"$7,801.81"
0213T,,Njx paravert w/us cer/thor,R2,5443,0.28%,$903.68,0.00%,$0.00
0214T,,Njx paravert w/us cer/thor,N1,,,,,
0215T,,Njx paravert w/us cer/thor,N1,,,,,
0216T,,Njx paravert w/us lumb/sac,R2,5443,0.28%,$903.68,0.00%,$0.00
0217T,,Njx paravert w/us lumb/sac,N1,,,,,
0218T,,Njx paravert w/us lumb/sac,N1,,,,,
0219T,,Plmt post facet implt cerv,J8,5115,45.89%,"$12,665.27",67.31%,"$8,524.99"
0220T,,Plmt post facet implt thor,J8,5115,45.89%,"$12,665.27",45.89%,"$5,812.09"
0221T,,Plmt post facet implt lumb,J8,5114,20.74%,"$6,878.60",31.00%,"$2,132.37"
0222T,,Plmt post facet implt addl,N1,,,,,
0232T,,Njx platelet plasma,N1,,,,,
0238T,,Trluml perip athrc iliac art,J8,5194,57.44%,"$15,991.46",70.95%,"$11,345.94"
0253T,,Insert aqueous drain device,J8,5492,4.60%,"$4,102.13",47.46%,"$1,946.87"
0263T,,Im b1 mrw cel ther cmpl,G2,5243,0.00%,"$4,448.47",0.00%,$0.00
0264T,,Im b1 mrw cel ther xcl hrvst,G2,5243,0.00%,"$4,448.47",0.00%,$0.00
0265T,,Im b1 mrw cel ther hrvst onl,G2,5243,0.00%,"$4,448.47",0.00%,$0.00
0274T,,Prq lamot/lam dcmpr crv/thrc,G2,5114,20.74%,"$6,878.60",5.48%,$202.52
0278T,,Tempr,N1,,,,,
0308T,,Insj ocular telescope prosth,J8,5496,71.66%,"$16,710.70",41.62%,"$6,954.99"
0330T,,Tear film img uni/bi w/i&r,N1,,,,,
0335T,,Insj sinus tarsi implant,J8,5114,20.74%,"$6,878.60",67.15%,"$4,618.98"
0338T,,Trnscth renal symp denrv unl,J8,5192,30.26%,"$5,076.40",72.97%,"$3,704.25"
0339T,,Trnscth renal symp denrv bil,J8,5192,30.26%,"$5,076.40",61.63%,"$3,128.59"
0342T,,Thxp apheresis w/hdl delip,G2,5243,0.00%,"$4,448.47",0.00%,$0.00
0347T,,Ins bone device for rsa,N1,,,,,
0348T,,Rsa spine exam,N1,,,,,
0349T,,Rsa upper extr exam,N1,,,,,
0350T,,Rsa lower extr exam,N1,,,,,
0351T,,Intraop oct brst/node spec,N1,,,,,
0353T,,Intraop oct breast cavity,N1,,,,,
0379T,,Vis field assmnt tech suppt,N1,,,,,
0397T,,Ercp w/optical endomicroscpy,N1,,,,,
0402T,,Colgn crs-link crn&pachymtry,R2,5503,1.74%,"$2,025.92",5.14%,$55.95
0408T,,Insj/rplc cardiac modulj sys,J8,5232,70.46%,"$28,856.49",79.23%,"$22,863.00"
0409T,,Insj/rplc car modulj pls gn,J8,5231,66.53%,"$22,428.13",73.27%,"$16,433.09"
0410T,,Insj/rplc car modulj atr elt,J8,5222,68.94%,"$8,344.84",68.94%,"$5,752.93"
0411T,,Insj/rplc car modulj vnt elt,J8,5222,68.94%,"$8,344.84",72.82%,"$6,076.71"
0412T,,Rmvl cardiac modulj pls gen,G2,5221,20.80%,"$3,894.27",42.45%,$888.14
0413T,,Rmvl car modulj tranvns elt,G2,5221,20.80%,"$3,894.27",0.00%,$0.00
0414T,,Rmvl & rpl car modulj pls gn,J8,5231,66.53%,"$22,428.13",66.53%,"$14,921.43"
0415T,,Repos car modulj tranvns elt,G2,5181,3.26%,$641.39,45.03%,$155.16
0416T,,Reloc skin pocket pls gen,G2,5054,0.73%,"$2,100.65",0.00%,$0.00
0419T,,Dstrj neurofibroma xtnsv,R2,5053,0.03%,$753.71,0.00%,$0.00
0420T,,Dstrj neurofibroma xtnsv,R2,5053,0.03%,$753.71,0.00%,$0.00
0437T,,Impltj synth rnfcmt abdl wal,N1,,,,,
