CBSA,CBSA Name,WI26
01,ALABAMA,0.6367
02,ALASKA,1.1274
03,ARIZONA,0.8539
04,ARKANSAS,0.7296
05,CALIFORNIA,1.2775
06,COLORADO,1.0501
07,CONNECTICUT,0.9140
08,DELAWARE,1.0095
10,FLORIDA,0.8363
11,GEORGIA,0.7364
12,HAWAII,1.1312
13,IDAHO,0.6858
14,ILLINOIS,0.8743
15,INDIANA,0.8565
16,IOWA,0.7814
17,KANSAS,0.8135
18,KENTUCKY,0.8165
19,LOUISIANA,0.6946
20,MAINE,0.8039
21,MARYLAND,0.8788
22,MASSACHUSETTS,1.1372
23,MICHIGAN,0.8232
24,MINNESOTA,0.9037
25,MISSISSIPPI,0.7124
26,MISSOURI,0.8016
27,MONTANA,1.1433
28,NEBRASKA,0.8864
29,NEVADA,1.1108
30,NEW HAMPSHIRE,1.0138
31,NEW JERSEY,0.0000
32,NEW MEXICO,0.9194
33,NEW YORK,0.8892
34,NORTH CAROLINA,0.8122
35,NORTH DAKOTA,0.8329
36,OHIO,0.8032
37,OKLAHOMA,0.8035
38,OREGON,1.0209
39,PENNSYLVANIA,0.8507
40,PUERTO RICO,0.4200
41,RHODE ISLAND,0.0000
42,SOUTH CAROLINA,0.8184
43,SOUTH DAKOTA,0.8177
44,TENNESSEE,0.7239
45,TEXAS,0.8400
46,UTAH,0.8969
47,VERMONT,0.8848
48,VIRGIN ISLANDS,0.6088
49,VIRGINIA,0.8339
50,WASHINGTON,0.9712
51,WEST VIRGINIA,0.7156
52,WISCONSIN,0.8513
53,WYOMING,0.9845
65,GUAM,0.9611
10180,"Abilene, TX",0.9287
10380,"Aguadilla, PR",0.2909
10420,"Akron, OH",0.8254
10500,"Albany, GA",0.9504
10540,"Albany, OR",1.0449
10580,"Albany-Schenectady-Troy, NY",0.8551
10740,"Albuquerque, NM",0.9306
10780,"Alexandria, LA",0.8816
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.9978
11020,"Altoona, PA",0.8641
11100,"Amarillo, TX",0.8434
11180,"Ames, IA",0.8665
11200,"Amherst Town-Northampton, MA",0.9814
11244,"Anaheim-Santa Ana-Irvine, CA",1.2445
11260,"Anchorage, AK",1.1328
11460,"Ann Arbor, MI",0.9869
11500,"Anniston-Oxford, AL",0.6958
11540,"Appleton, WI",0.9498
11640,"Arecibo, PR",0.3134
11694,"Arlington-Alexandria-Reston, VA-WV",1.0449
11700,"Asheville, NC",0.8847
12020,"Athens-Clarke County, GA",0.8652
12054,"Atlanta-Sandy Springs-Roswell, GA",0.9986
12100,"Atlantic City-Hammonton, NJ",0.9869
12220,"Auburn-Opelika, AL",0.6797
12260,"Augusta-Richmond County, GA-SC",0.7916
12420,"Austin-Round Rock-San Marcos, TX",0.9660
12540,"Bakersfield-Delano, CA",1.1840
12580,"Baltimore-Columbia-Towson, MD",0.9508
12620,"Bangor, ME",0.9102
12700,"Barnstable Town, MA",1.2554
12940,"Baton Rouge, LA",0.8046
12980,"Battle Creek, MI",0.8879
13020,"Bay City, MI",0.8667
13140,"Beaumont-Port Arthur, TX",0.8793
13220,"Beckley, WV",0.8674
13380,"Bellingham, WA",1.2111
13460,"Bend, OR",1.1925
13740,"Billings, MT",0.8974
13780,"Binghamton, NY",0.8313
13820,"Birmingham, AL",0.8596
13900,"Bismarck, ND",0.8919
13980,"Blacksburg-Christiansburg-Radford, VA",0.8488
14010,"Bloomington, IL",0.8945
14020,"Bloomington, IN",0.9943
14260,"Boise City, ID",0.9689
14454,"Boston, MA",1.1519
14500,"Boulder, CO",1.1215
14540,"Bowling Green, KY",0.8657
14580,"Bozeman, MT",0.9655
14740,"Bremerton-Silverdale-Port Orchard, WA",1.2385
14860,"Bridgeport-Stamford-Danbury, CT",1.1504
15180,"Brownsville-Harlingen, TX",0.7845
15260,"Brunswick-St. Simons, GA",0.9534
15380,"Buffalo-Cheektowaga, NY",1.0646
15500,"Burlington, NC",0.8719
15540,"Burlington-South Burlington, VT",0.9839
15764,"Cambridge-Newton-Framingham, MA",1.0673
15804,"Camden, NJ",1.0925
15940,"Canton-Massillon, OH",0.8021
15980,"Cape Coral-Fort Myers, FL",0.9189
16020,"Cape Girardeau, MO-IL",0.7794
16180,"Carson City, NV",0.9567
16220,"Casper, WY",0.9470
16300,"Cedar Rapids, IA",0.8695
16540,"Chambersburg, PA",1.0154
16580,"Champaign-Urbana, IL",0.8719
16620,"Charleston, WV",0.7576
16700,"Charleston-North Charleston, SC",0.8747
16740,"Charlotte-Concord-Gastonia, NC-SC",0.9404
16820,"Charlottesville, VA",0.9610
16860,"Chattanooga, TN-GA",0.8531
16940,"Cheyenne, WY",0.9504
16984,"Chicago-Naperville-Schaumburg, IL",1.0228
17020,"Chico, CA",1.0202
17140,"Cincinnati, OH-KY-IN",0.9523
17300,"Clarksville, TN-KY",0.8317
17410,"Cleveland, OH",0.8776
17420,"Cleveland, TN",0.8119
17660,"Coeur d'Alene, ID",0.9905
17780,"College Station-Bryan, TX",0.8726
17820,"Colorado Springs, CO",0.9568
17860,"Columbia, MO",0.8548
17900,"Columbia, SC",0.9208
17980,"Columbus, GA-AL",0.7796
18020,"Columbus, IN",1.1271
18140,"Columbus, OH",0.9358
18580,"Corpus Christi, TX",0.9287
18700,"Corvallis, OR",1.0963
18880,"Crestview-Fort Walton Beach-Destin, FL",0.8723
19124,"Dallas-Plano-Irving, TX",0.9639
19140,"Dalton, GA",0.8885
19300,"Daphne-Fairhope-Foley, AL",0.8087
19340,"Davenport-Moline-Rock Island, IA-IL",0.7828
19430,"Dayton-Kettering-Beavercreek, OH",0.9646
19460,"Decatur, AL",0.7153
