device_hcpcs,procedure_hcpcs,device_modifier,procedure_modifier,percent_multiplier,effective_date,end_date
C1600,36902,,,0.272,20240101,20241231
C1600,36902,,,0.0,20240101,20241231
C1600,36903,,,0.6587,20240101,20241231
C1600,36903,,,0.0,20240101,20241231
C1600,36905,,,0.4515,20240101,20241231
C1600,36905,,,0.0,20240101,20241231
C1600,36906,,,0.6646,20240101,20241231
C1600,36906,,,0.0,20240101,20241231
C1601,31615,,,0.0003,20240101,20241231
C1601,31622,,,0.0033,20240101,20241231
C1601,31623,,,0.001,20240101,20241231
C1601,31624,,,0.0012,20240101,20241231
C1601,31625,,,0.0096,20240101,20241231
C1601,31626,,,0.295,20240101,20241231
C1601,31628,,,0.0099,20240101,20241231
C1601,31629,,,0.0087,20240101,20241231
C1601,31630,,,0.1276,20240101,20241231
C1601,31631,,,0.1364,20240101,20241231
C1601,31634,,,0.1467,20240101,20241231
C1601,31635,,,0.0117,20240101,20241231
C1601,31636,,,0.5534,20240101,20241231
C1601,31638,,,0.0609,20240101,20241231
C1601,31640,,,0.0264,20240101,20241231
C1601,31641,,,0.0525,20240101,20241231
C1601,31643,,,0.0,20240101,20241231
C1601,31645,,,0.0052,20240101,20241231
C1601,31646,,,0.0,20240101,20241231
C1601,31647,,,0.4524,20240101,20241231
C1601,31648,,,0.0103,20240101,20241231
C1601,31649,,,0.0,20240101,20241231
C1601,31652,,,0.0053,20240101,20241231
C1601,31653,,,0.0047,20240101,20241231
C1602,23035,,,0.0,20240101,20241231
C1602,23170,,,0.5963,20240101,20241231
C1602,23172,,,0.0,20240101,20241231
C1602,23174,,,0.0,20240101,20241231
C1602,23180,,,0.0,20240101,20241231
C1602,23182,,,0.0,20240101,20241231
C1602,23184,,,0.0,20240101,20241231
C1602,23935,,,0.0,20240101,20241231
C1602,24134,,,0.0,20240101,20241231
C1602,24136,,,0.0,20240101,20241231
C1602,24138,,,0.0362,20240101,20241231
C1602,24140,,,0.0393,20240101,20241231
C1602,24145,,,0.0,20240101,20241231
C1602,24147,,,0.0,20240101,20241231
C1602,25035,,,0.2204,20240101,20241231
C1602,25145,,,0.0,20240101,20241231
C1602,25150,,,0.0009,20240101,20241231
C1602,25151,,,0.0,20240101,20241231
C1602,26230,,,0.0646,20240101,20241231
C1602,26236,,,0.0006,20240101,20241231
C1602,27360,,,0.0582,20240101,20241231
C1602,27607,,,0.3144,20240101,20241231
C1602,27640,,,0.0572,20240101,20241231
C1602,27641,,,0.0029,20240101,20241231
C1602,28005,,,0.0777,20240101,20241231
C1602,28120,,,0.0499,20240101,20241231
C1602,28122,,,0.0253,20240101,20241231
C1602,28124,,,0.0144,20240101,20241231
C1603,37193,,,0.2621,20240101,20241231
C1747,50080,,,0.1112,20240101,20241231
C1747,50081,,,0.121,20240101,20241231
C1747,50575,,,0.0484,20240101,20241231
C1747,50951,,,0.0422,20240101,20241231
C1747,50953,,,0.0807,20240101,20241231
C1747,50955,,,0.0474,20240101,20241231
C1747,50957,,,0.0336,20240101,20241231
C1747,50961,,,0.0348,20240101,20241231
C1747,50970,,,0.0,20240101,20241231
C1747,50972,,,0.01,20240101,20241231
C1747,50974,,,0.0,20240101,20241231
C1747,50976,,,0.174,20240101,20241231
C1747,50980,,,0.0,20240101,20241231
C1747,52344,,,0.0803,20240101,20241231
C1747,52345,,,0.1419,20240101,20241231
C1747,52346,,,0.0371,20240101,20241231
C1747,52351,,,0.0558,20240101,20241231
C1747,52352,,,0.0571,20240101,20241231
C1747,52353,,,0.0564,20240101,20241231
C1747,52354,,,0.0567,20240101,20241231
C1747,52355,,,0.0646,20240101,20241231
C1747,52356,,,0.1033,20240101,20241231
C1747,C9761,,,0.2798,20240101,20241231
C1761,92928,,,0.0,20240101,20240630
C1761,C9600,,,0.0,20240101,20240630
C1826,63685,,,0.9069,20240101,20241231
C1827,64568,,,0.9263,20240101,20241231
C1832,15100,,,0.01,20240101,20241231
C1832,15110,,,0.0,20240101,20241231
C1832,15115,,,0.0,20240101,20241231
C1832,15120,,,0.0082,20240101,20241231
C1833,0525T,,,0.4521,20240101,20241231
C1833,0526T,,,0.4521,20240101,20241231
C1833,0527T,,,0.923,20240101,20241231
C1606,43231,,,0.0081,20240701,20241231
C1606,43232,,,0.0094,20240701,20241231
C1606,43237,,,0.0096,20240701,20241231
C1606,43238,,,0.0144,20240701,20241231
C1606,43240,,,0.7905,20240701,20241231
C1606,43242,,,0.0118,20240701,20241231
C1606,43253,,,0.0419,20240701,20241231
C1606,43259,,,0.0114,20240701,20241231
C8000,36818,,,0.0,20241001,20241231
C8000,36819,,,0.0,20241001,20241231
C8000,36820,,,0.0,20241001,20241231
C8000,36821,,,0.0,20241001,20241231
C8000,36832,,,0.0,20241001,20241231
C8000,36833,,,0.0,20241001,20241231
